"","Year","Month","FWI"
"1",1997,"Jan",30.25986
"2",1997,"Feb",19.82103
"3",1997,"Mar",25.78199
"4",1997,"Apr",29.11742
"5",1997,"May",25.12256
"6",1997,"Jun",8.519514
"7",1997,"Jul",10.70707
"8",1997,"Aug",18.50622
"9",1997,"Sep",11.83759
"10",1997,"Oct",24.94845
"11",1997,"Nov",36.77301
"12",1997,"Dec",48.13023
"13",1998,"Jan",28.69665
"14",1998,"Feb",34.81902
"15",1998,"Mar",45.23631
"16",1998,"Apr",41.05391
"17",1998,"May",9.370806
"18",1998,"Jun",6.44538
"19",1998,"Jul",2.793589
"20",1998,"Aug",3.515529
"21",1998,"Sep",8.968733
"22",1998,"Oct",17.08307
"23",1998,"Nov",11.58252
"24",1998,"Dec",23.87572
"25",1999,"Jan",27.46327
"26",1999,"Feb",29.30788
"27",1999,"Mar",20.06003
"28",1999,"Apr",15.47221
"29",1999,"May",14.00111
"30",1999,"Jun",9.056735
"31",1999,"Jul",6.949223
"32",1999,"Aug",14.00694
"33",1999,"Sep",16.74044
"34",1999,"Oct",11.174
"35",1999,"Nov",18.06516
"36",1999,"Dec",26.65195
"37",2000,"Jan",35.06246
"38",2000,"Feb",34.15483
"39",2000,"Mar",24.4184
"40",2000,"Apr",12.48374
"41",2000,"May",9.629324
"42",2000,"Jun",8.632305
"43",2000,"Jul",10.19411
"44",2000,"Aug",9.021151
"45",2000,"Sep",21.81932
"46",2000,"Oct",27.38822
"47",2000,"Nov",12.75906
"48",2000,"Dec",32.98045
"49",2001,"Jan",38.81707
"50",2001,"Feb",23.92336
"51",2001,"Mar",23.7176
"52",2001,"Apr",25.10232
"53",2001,"May",12.75131
"54",2001,"Jun",10.76302
"55",2001,"Jul",8.856433
"56",2001,"Aug",15.91662
"57",2001,"Sep",16.63216
"58",2001,"Oct",26.71961
"59",2001,"Nov",21.66786
"60",2001,"Dec",49.21491
"61",2002,"Jan",50.3103
"62",2002,"Feb",19.2192
"63",2002,"Mar",37.06633
"64",2002,"Apr",15.01797
"65",2002,"May",17.69832
"66",2002,"Jun",14.58695
"67",2002,"Jul",17.98149
"68",2002,"Aug",28.36739
"69",2002,"Sep",31.12906
"70",2002,"Oct",47.93624
"71",2002,"Nov",50.30444
"72",2002,"Dec",46.44838
"73",2003,"Jan",62.12338
"74",2003,"Feb",37.19393
"75",2003,"Mar",24.74628
"76",2003,"Apr",15.92715
"77",2003,"May",11.77711
"78",2003,"Jun",11.80069
"79",2003,"Jul",10.90006
"80",2003,"Aug",16.40233
"81",2003,"Sep",31.21875
"82",2003,"Oct",17.60222
"83",2003,"Nov",31.85927
"84",2003,"Dec",28.50511
"85",2004,"Jan",34.36101
"86",2004,"Feb",44.51049
"87",2004,"Mar",26.36868
"88",2004,"Apr",27.8222
"89",2004,"May",23.97186
"90",2004,"Jun",17.28404
"91",2004,"Jul",17.32071
"92",2004,"Aug",18.43452
"93",2004,"Sep",17.7527
"94",2004,"Oct",28.60672
"95",2004,"Nov",43.05303
"96",2004,"Dec",41.69545
"97",2005,"Jan",36.48388
"98",2005,"Feb",33.36029
"99",2005,"Mar",24.7045
"100",2005,"Apr",34.91325
"101",2005,"May",24.77825
"102",2005,"Jun",20.09818
"103",2005,"Jul",9.967737
"104",2005,"Aug",18.29048
"105",2005,"Sep",14.21053
"106",2005,"Oct",18.7495
"107",2005,"Nov",16.85916
"108",2005,"Dec",40.53268
"109",2006,"Jan",61.34797
"110",2006,"Feb",32.4315
"111",2006,"Mar",32.0498
"112",2006,"Apr",30.09922
"113",2006,"May",28.27398
"114",2006,"Jun",18.27936
"115",2006,"Jul",17.8562
"116",2006,"Aug",22.42622
"117",2006,"Sep",38.02287
"118",2006,"Oct",42.4573
"119",2006,"Nov",47.52527
"120",2006,"Dec",42.86619
"121",2007,"Jan",44.62095
"122",2007,"Feb",34.58736
"123",2007,"Mar",20.72565
"124",2007,"Apr",23.9434
"125",2007,"May",15.6767
"126",2007,"Jun",5.661232
"127",2007,"Jul",8.315349
"128",2007,"Aug",20.70046
"129",2007,"Sep",30.40358
"130",2007,"Oct",48.56433
"131",2007,"Nov",19.47025
"132",2007,"Dec",18.35301
"133",2008,"Jan",17.63072
"134",2008,"Feb",18.29229
"135",2008,"Mar",27.95266
"136",2008,"Apr",28.45576
"137",2008,"May",17.51441
"138",2008,"Jun",13.19592
"139",2008,"Jul",11.57099
"140",2008,"Aug",12.20422
"141",2008,"Sep",20.47276
"142",2008,"Oct",32.93545
"143",2008,"Nov",23.37024
"144",2008,"Dec",19.69895
"145",2009,"Jan",38.84463
"146",2009,"Feb",50.19706
"147",2009,"Mar",25.64351
"148",2009,"Apr",15.34413
"149",2009,"May",20.1622
"150",2009,"Jun",5.917312
"151",2009,"Jul",9.703686
"152",2009,"Aug",20.64266
"153",2009,"Sep",26.00905
"154",2009,"Oct",30.06613
"155",2009,"Nov",46.44388
"156",2009,"Dec",51.994
"157",2010,"Jan",41.74492
"158",2010,"Feb",31.26046
"159",2010,"Mar",21.76701
"160",2010,"Apr",17.37652
"161",2010,"May",18.08105
"162",2010,"Jun",5.794893
"163",2010,"Jul",4.29563
"164",2010,"Aug",6.183403
"165",2010,"Sep",11.55245
"166",2010,"Oct",8.073875
"167",2010,"Nov",13.33418
"168",2010,"Dec",15.23227
"169",2011,"Jan",23.91277
"170",2011,"Feb",41.43048
"171",2011,"Mar",18.00631
"172",2011,"Apr",13.53509
"173",2011,"May",13.57647
"174",2011,"Jun",7.732431
"175",2011,"Jul",10.98613
"176",2011,"Aug",17.34483
"177",2011,"Sep",26.66897
"178",2011,"Oct",19.72659
"179",2011,"Nov",16.05608
"180",2011,"Dec",9.921959
"181",2012,"Jan",22.13959
"182",2012,"Feb",11.52634
"183",2012,"Mar",9.502991
"184",2012,"Apr",14.40142
"185",2012,"May",16.45031
"186",2012,"Jun",6.087038
"187",2012,"Jul",5.617912
"188",2012,"Aug",16.81094
"189",2012,"Sep",29.71939
"190",2012,"Oct",32.62954
"191",2012,"Nov",32.70102
"192",2012,"Dec",31.92829
"193",2013,"Jan",58.23539
"194",2013,"Feb",24.55194
"195",2013,"Mar",18.93312
"196",2013,"Apr",23.08233
"197",2013,"May",24.21376
"198",2013,"Jun",7.031379
"199",2013,"Jul",6.514109
"200",2013,"Aug",16.10465
"201",2013,"Sep",30.90156
"202",2013,"Oct",42.75601
"203",2013,"Nov",48.78574
"204",2013,"Dec",42.71461
"205",2014,"Jan",45.26046
"206",2014,"Feb",48.25879
"207",2014,"Mar",15.69988
"208",2014,"Apr",14.17857
"209",2014,"May",15.9744
"210",2014,"Jun",9.974141
"211",2014,"Jul",15.72397
"212",2014,"Aug",15.14231
"213",2014,"Sep",22.33512
"214",2014,"Oct",38.69923
"215",2014,"Nov",43.58469
"216",2014,"Dec",30.8413
"217",2015,"Jan",21.07457
"218",2015,"Feb",24.90006
"219",2015,"Mar",34.49497
"220",2015,"Apr",18.01508
"221",2015,"May",11.85733
"222",2015,"Jun",6.427806
"223",2015,"Jul",6.070745
"224",2015,"Aug",10.32542
"225",2015,"Sep",14.89057
"226",2015,"Oct",37.59966
"227",2015,"Nov",36.06856
"228",2015,"Dec",46.21125
"229",2016,"Jan",29.1662
"230",2016,"Feb",36.7405
"231",2016,"Mar",31.35363
"232",2016,"Apr",32.35293
"233",2016,"May",17.66778
"234",2016,"Jun",5.218947
"235",2016,"Jul",5.529333
"236",2016,"Aug",11.20512
"237",2016,"Sep",5.374255
"238",2016,"Oct",17.44738
"239",2016,"Nov",29.13415
"240",2016,"Dec",36.04224
"241",2017,"Jan",41.58016
"242",2017,"Feb",47.09647
"243",2017,"Mar",30.65752
"244",2017,"Apr",12.67057
"245",2017,"May",10.87892
"246",2017,"Jun",8.306273
"247",2017,"Jul",18.93153
"248",2017,"Aug",21.85442
"249",2017,"Sep",45.91938
"250",2017,"Oct",20.96652
"251",2017,"Nov",20.41777
"252",2017,"Dec",33.93122
"253",2018,"Jan",41.44555
"254",2018,"Feb",54.99144
"255",2018,"Mar",46.92795
"256",2018,"Apr",40.97724
"257",2018,"May",24.94326
"258",2018,"Jun",14.33052
"259",2018,"Jul",18.99661
"260",2018,"Aug",26.02344
"261",2018,"Sep",30.20613
"262",2018,"Oct",21.68661
"263",2018,"Nov",41.77991
"264",2018,"Dec",33.29596
